osmid,x,y
506456307,77.9915335,30.2800778
506456316,77.9875982,30.2715854
506456320,77.9809857,30.261091
506456321,77.9828886,30.2636805
603715040,78.1468217,30.185826
603715053,78.182191,30.1872627
603715061,78.1976934,30.1895209
603715067,78.2187541,30.1763062
603715069,78.2192018,30.1763793
603715114,78.2834337,30.1159059
603715119,78.2852151,30.1157245
603715122,78.2980572,30.1073585
603715125,78.2944105,30.1111775
603715253,78.2265225,30.1773437
603715258,78.234662,30.1762614
603715287,78.0364471,30.3093027
603715288,78.037674,30.3093363
603715294,78.0451298,30.3113001
603715300,78.0337038,30.3156501
603715304,78.0342312,30.3125187
603715307,78.036175,30.3127177
603715311,78.0456386,30.3120585
603715314,78.0461165,30.3136375
603715320,78.0419466,30.3176005
603715330,78.0419681,30.3201925
603715333,78.0459891,30.3174107
603715349,78.0499331,30.3155423
1022982143,78.273042,30.0856065
1022982157,78.2860127,30.0985392
1022982166,78.296216,30.1072467
1022982235,78.2928916,30.1068951
1022982290,78.3034389,30.1055665
1022982304,78.2894008,30.106935
1022982317,78.2763796,30.0918818
1022982361,78.2894719,30.1143606
1022982388,78.2965378,30.1097561
1022982392,78.2920947,30.1107065
1022982444,78.2709099,30.0828613
1022982453,78.2963605,30.1121518
1022982530,78.3005756,30.1047411
1022982549,78.292883,30.1039705
1022982592,78.2731589,30.0793377
1022982596,78.3005685,30.1034049
1022982603,78.2937783,30.1050061
1022982606,78.288709,30.1021209
1022982612,78.2853908,30.0996856
1022982654,78.2908553,30.1135998
1022982664,78.2996433,30.1084707
1022982691,78.2917431,30.1144808
1022982868,78.2934166,30.1074173
1022982886,78.2864432,30.0991795
1022982891,78.2718822,30.0808486
1022982899,78.2866495,30.1136618
1022982929,78.2989122,30.1090107
1022982934,78.2881652,30.1127597
1022982982,78.2734571,30.0821761
1022983003,78.289243,30.1071656
1022983014,78.3011621,30.1077875
1022983089,78.2857057,30.1113259
1022983094,78.2734801,30.0793852
1022983198,78.2755819,30.0924758
1022983228,78.2904832,30.1123255
1022983258,78.2957982,30.1080728
1022983263,78.292155,30.1060709
1022983299,78.2738703,30.0789692
1022983321,78.2964403,30.1052495
1022983410,78.293792,30.1090093
1022983460,78.2940952,30.1134445
1022983545,78.2925852,30.109809
1022983564,78.2995534,30.1057526
1022983633,78.2870966,30.1108598
